id,image_path,label,category_slug,places365_id,places365_label,places365_slug,source_dataset,source_split,source_index,source_image_file_path,split
cafe_coffee_shop_00579,data/category_classifier/places365_v2/카페/coffee_shop/00579.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405063,./places365/data_large_standard/c/coffee_shop/00004511.jpg,train
cafe_coffee_shop_00876,data/category_classifier/places365_v2/카페/coffee_shop/00876.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405735,./places365/data_large_standard/c/coffee_shop/00000915.jpg,train
cafe_coffee_shop_00837,data/category_classifier/places365_v2/카페/coffee_shop/00837.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405654,./places365/data_large_standard/c/coffee_shop/00000340.jpg,train
cafe_coffee_shop_00312,data/category_classifier/places365_v2/카페/coffee_shop/00312.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404321,./places365/data_large_standard/c/coffee_shop/00003682.jpg,train
cafe_coffee_shop_00164,data/category_classifier/places365_v2/카페/coffee_shop/00164.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403821,./places365/data_large_standard/c/coffee_shop/00003528.jpg,train
cafe_coffee_shop_00377,data/category_classifier/places365_v2/카페/coffee_shop/00377.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404501,./places365/data_large_standard/c/coffee_shop/00000975.jpg,train
cafe_coffee_shop_00800,data/category_classifier/places365_v2/카페/coffee_shop/00800.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405587,./places365/data_large_standard/c/coffee_shop/00002697.jpg,train
cafe_coffee_shop_00589,data/category_classifier/places365_v2/카페/coffee_shop/00589.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405078,./places365/data_large_standard/c/coffee_shop/00004369.jpg,train
cafe_coffee_shop_00866,data/category_classifier/places365_v2/카페/coffee_shop/00866.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405713,./places365/data_large_standard/c/coffee_shop/00000108.jpg,train
cafe_coffee_shop_00873,data/category_classifier/places365_v2/카페/coffee_shop/00873.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405729,./places365/data_large_standard/c/coffee_shop/00004839.jpg,train
cafe_coffee_shop_00257,data/category_classifier/places365_v2/카페/coffee_shop/00257.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404155,./places365/data_large_standard/c/coffee_shop/00002609.jpg,train
cafe_coffee_shop_00258,data/category_classifier/places365_v2/카페/coffee_shop/00258.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404156,./places365/data_large_standard/c/coffee_shop/00004707.jpg,train
bar_bar_00217,data/category_classifier/places365_v2/술집/bar/00217.jpg,술집,bar,39,bar,bar,Andron00e/Places365-custom,train,465120,./places365/data_large_standard/b/bar/00003399.jpg,train
cafe_coffee_shop_00542,data/category_classifier/places365_v2/카페/coffee_shop/00542.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404963,./places365/data_large_standard/c/coffee_shop/00000268.jpg,train
cafe_coffee_shop_00331,data/category_classifier/places365_v2/카페/coffee_shop/00331.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404375,./places365/data_large_standard/c/coffee_shop/00000366.jpg,train
cafe_coffee_shop_00813,data/category_classifier/places365_v2/카페/coffee_shop/00813.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405611,./places365/data_large_standard/c/coffee_shop/00003400.jpg,train
cafe_coffee_shop_00168,data/category_classifier/places365_v2/카페/coffee_shop/00168.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403842,./places365/data_large_standard/c/coffee_shop/00000055.jpg,train
cafe_coffee_shop_00045,data/category_classifier/places365_v2/카페/coffee_shop/00045.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403229,./places365/data_large_standard/c/coffee_shop/00004487.jpg,train
cafe_coffee_shop_00177,data/category_classifier/places365_v2/카페/coffee_shop/00177.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403877,./places365/data_large_standard/c/coffee_shop/00000501.jpg,train
cafe_coffee_shop_00632,data/category_classifier/places365_v2/카페/coffee_shop/00632.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405196,./places365/data_large_standard/c/coffee_shop/00004565.jpg,train
cafe_coffee_shop_00369,data/category_classifier/places365_v2/카페/coffee_shop/00369.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404473,./places365/data_large_standard/c/coffee_shop/00004781.jpg,train
bar_beer_hall_00020,data/category_classifier/places365_v2/술집/beer_hall/00020.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1327426,./places365/data_large_standard/b/beer_hall/00002736.jpg,train
cafe_coffee_shop_00080,data/category_classifier/places365_v2/카페/coffee_shop/00080.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403432,./places365/data_large_standard/c/coffee_shop/00001676.jpg,train
bar_bar_00092,data/category_classifier/places365_v2/술집/bar/00092.jpg,술집,bar,39,bar,bar,Andron00e/Places365-custom,train,464549,./places365/data_large_standard/b/bar/00002091.jpg,train
cafe_coffee_shop_00771,data/category_classifier/places365_v2/카페/coffee_shop/00771.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405527,./places365/data_large_standard/c/coffee_shop/00000569.jpg,train
cafe_coffee_shop_00279,data/category_classifier/places365_v2/카페/coffee_shop/00279.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404220,./places365/data_large_standard/c/coffee_shop/00004674.jpg,train
cafe_coffee_shop_00038,data/category_classifier/places365_v2/카페/coffee_shop/00038.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403169,./places365/data_large_standard/c/coffee_shop/00000974.jpg,train
bar_beer_hall_00322,data/category_classifier/places365_v2/술집/beer_hall/00322.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1328868,./places365/data_large_standard/b/beer_hall/00002914.jpg,train
bar_beer_hall_00216,data/category_classifier/places365_v2/술집/beer_hall/00216.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1328479,./places365/data_large_standard/b/beer_hall/00000877.jpg,train
bar_beer_hall_00085,data/category_classifier/places365_v2/술집/beer_hall/00085.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1327930,./places365/data_large_standard/b/beer_hall/00002299.jpg,train
bar_beer_garden_00027,data/category_classifier/places365_v2/술집/beer_garden/00027.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1166162,./places365/data_large_standard/b/beer_garden/00001209.jpg,train
cafe_coffee_shop_00671,data/category_classifier/places365_v2/카페/coffee_shop/00671.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405290,./places365/data_large_standard/c/coffee_shop/00001460.jpg,train
park_topiary_garden_00005,data/category_classifier/places365_v2/공원/topiary_garden/00005.jpg,공원,park,333,topiary garden,topiary_garden,Andron00e/Places365-custom,train,201446,./places365/data_large_standard/t/topiary_garden/00003630.jpg,train
park_zen_garden_00120,data/category_classifier/places365_v2/공원/zen_garden/00120.jpg,공원,park,364,zen garden,zen_garden,Andron00e/Places365-custom,train,81857,./places365/data_large_standard/z/zen_garden/00003461.jpg,train
bar_beer_hall_00115,data/category_classifier/places365_v2/술집/beer_hall/00115.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1328077,./places365/data_large_standard/b/beer_hall/00004944.jpg,train
park_picnic_area_00119,data/category_classifier/places365_v2/공원/picnic_area/00119.jpg,공원,park,265,picnic area,picnic_area,Andron00e/Places365-custom,train,596165,./places365/data_large_standard/p/picnic_area/00001389.jpg,train
cafe_coffee_shop_00754,data/category_classifier/places365_v2/카페/coffee_shop/00754.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405483,./places365/data_large_standard/c/coffee_shop/00000689.jpg,train
bar_beer_garden_00078,data/category_classifier/places365_v2/술집/beer_garden/00078.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1166559,./places365/data_large_standard/b/beer_garden/00000137.jpg,train
bar_beer_garden_00066,data/category_classifier/places365_v2/술집/beer_garden/00066.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1166494,./places365/data_large_standard/b/beer_garden/00004393.jpg,train
bar_beer_garden_00300,data/category_classifier/places365_v2/술집/beer_garden/00300.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1168374,./places365/data_large_standard/b/beer_garden/00001110.jpg,train
park_japanese_garden_00048,data/category_classifier/places365_v2/공원/japanese_garden/00048.jpg,공원,park,197,japanese garden,japanese_garden,Andron00e/Places365-custom,train,379554,./places365/data_large_standard/j/japanese_garden/00001835.jpg,train
park_playground_00066,data/category_classifier/places365_v2/공원/playground/00066.jpg,공원,park,268,playground,playground,Andron00e/Places365-custom,train,860782,./places365/data_large_standard/p/playground/00004649.jpg,train
park_formal_garden_00052,data/category_classifier/places365_v2/공원/formal_garden/00052.jpg,공원,park,153,formal garden,formal_garden,Andron00e/Places365-custom,train,1247207,./places365/data_large_standard/f/formal_garden/00001086.jpg,train
bar_bar_00125,data/category_classifier/places365_v2/술집/bar/00125.jpg,술집,bar,39,bar,bar,Andron00e/Places365-custom,train,464693,./places365/data_large_standard/b/bar/00003261.jpg,train
cafe_coffee_shop_00957,data/category_classifier/places365_v2/카페/coffee_shop/00957.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405928,./places365/data_large_standard/c/coffee_shop/00002832.jpg,train
cafe_coffee_shop_00797,data/category_classifier/places365_v2/카페/coffee_shop/00797.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,405582,./places365/data_large_standard/c/coffee_shop/00000020.jpg,train
cafe_coffee_shop_00018,data/category_classifier/places365_v2/카페/coffee_shop/00018.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,403002,./places365/data_large_standard/c/coffee_shop/00003468.jpg,train
park_zen_garden_00030,data/category_classifier/places365_v2/공원/zen_garden/00030.jpg,공원,park,364,zen garden,zen_garden,Andron00e/Places365-custom,train,81303,./places365/data_large_standard/z/zen_garden/00001306.jpg,train
park_picnic_area_00101,data/category_classifier/places365_v2/공원/picnic_area/00101.jpg,공원,park,265,picnic area,picnic_area,Andron00e/Places365-custom,train,596074,./places365/data_large_standard/p/picnic_area/00003163.jpg,train
bar_beer_garden_00096,data/category_classifier/places365_v2/술집/beer_garden/00096.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1166688,./places365/data_large_standard/b/beer_garden/00003022.jpg,train
park_japanese_garden_00058,data/category_classifier/places365_v2/공원/japanese_garden/00058.jpg,공원,park,197,japanese garden,japanese_garden,Andron00e/Places365-custom,train,379636,./places365/data_large_standard/j/japanese_garden/00003045.jpg,train
bar_beer_hall_00243,data/category_classifier/places365_v2/술집/beer_hall/00243.jpg,술집,bar,54,beer hall,beer_hall,Andron00e/Places365-custom,train,1328572,./places365/data_large_standard/b/beer_hall/00004373.jpg,train
bar_beer_garden_00026,data/category_classifier/places365_v2/술집/beer_garden/00026.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1166144,./places365/data_large_standard/b/beer_garden/00003332.jpg,train
park_botanical_garden_00076,data/category_classifier/places365_v2/공원/botanical_garden/00076.jpg,공원,park,62,botanical garden,botanical_garden,Andron00e/Places365-custom,train,1344987,./places365/data_large_standard/b/botanical_garden/00004043.jpg,train
bar_bar_00273,data/category_classifier/places365_v2/술집/bar/00273.jpg,술집,bar,39,bar,bar,Andron00e/Places365-custom,train,465304,./places365/data_large_standard/b/bar/00001945.jpg,train
cafe_coffee_shop_00275,data/category_classifier/places365_v2/카페/coffee_shop/00275.jpg,카페,cafe,99,coffee shop,coffee_shop,Andron00e/Places365-custom,train,404202,./places365/data_large_standard/c/coffee_shop/00003743.jpg,train
bar_beer_garden_00186,data/category_classifier/places365_v2/술집/beer_garden/00186.jpg,술집,bar,53,beer garden,beer_garden,Andron00e/Places365-custom,train,1167338,./places365/data_large_standard/b/beer_garden/00000518.jpg,train
park_topiary_garden_00021,data/category_classifier/places365_v2/공원/topiary_garden/00021.jpg,공원,park,333,topiary garden,topiary_garden,Andron00e/Places365-custom,train,203270,./places365/data_large_standard/t/topiary_garden/00003251.jpg,train
